20250714232459.340,10.0.0.1,38104,10.0.0.2,5001,5,0.0-1.0,1179648,9437184
20250714232500.363,10.0.0.1,38104,10.0.0.2,5001,5,1.0-2.0,1086472,8691776
20250714232501.391,10.0.0.1,38104,10.0.0.2,5001,5,2.0-3.0,1172880,9383040
20250714232502.414,10.0.0.1,38104,10.0.0.2,5001,5,3.0-4.0,65160,521280
20250714232503.434,10.0.0.1,38104,10.0.0.2,5001,5,4.0-5.0,130320,1042560
20250714232504.456,10.0.0.1,38104,10.0.0.2,5001,5,5.0-6.0,130320,1042560
20250714232504.975,10.0.0.1,38104,10.0.0.2,5001,5,6.0-7.0,130320,1042560
20250714232505.996,10.0.0.1,38104,10.0.0.2,5001,5,7.0-8.0,0,0
20250714232507.027,10.0.0.1,38104,10.0.0.2,5001,5,8.0-9.0,651600,5212800
20250714232508.058,10.0.0.1,38104,10.0.0.2,5001,5,9.0-10.0,195480,1563840
20250714232509.077,10.0.0.1,38104,10.0.0.2,5001,5,10.0-11.0,260640,2085120
20250714232510.093,10.0.0.1,38104,10.0.0.2,5001,5,11.0-12.0,195480,1563840
20250714232511.125,10.0.0.1,38104,10.0.0.2,5001,5,12.0-13.0,195480,1563840
20250714232512.146,10.0.0.1,38104,10.0.0.2,5001,5,13.0-14.0,130320,1042560
20250714232513.181,10.0.0.1,38104,10.0.0.2,5001,5,14.0-15.0,195480,1563840
20250714232514.186,10.0.0.1,38104,10.0.0.2,5001,5,15.0-16.0,195480,1563840
20250714232515.212,10.0.0.1,38104,10.0.0.2,5001,5,16.0-17.0,195480,1563840
20250714232516.248,10.0.0.1,38104,10.0.0.2,5001,5,17.0-18.0,195480,1563840
20250714232517.266,10.0.0.1,38104,10.0.0.2,5001,5,18.0-19.0,130320,1042560
20250714232518.283,10.0.0.1,38104,10.0.0.2,5001,5,19.0-20.0,195480,1563840
20250714232519.325,10.0.0.1,38104,10.0.0.2,5001,5,20.0-21.0,195480,1563840
20250714232520.348,10.0.0.1,38104,10.0.0.2,5001,5,21.0-22.0,195480,1563840
20250714232521.370,10.0.0.1,38104,10.0.0.2,5001,5,22.0-23.0,195480,1563840
20250714232522.396,10.0.0.1,38104,10.0.0.2,5001,5,23.0-24.0,130320,1042560
20250714232523.414,10.0.0.1,38104,10.0.0.2,5001,5,24.0-25.0,195480,1563840
20250714232524.438,10.0.0.1,38104,10.0.0.2,5001,5,25.0-26.0,195480,1563840
20250714232525.456,10.0.0.1,38104,10.0.0.2,5001,5,26.0-27.0,195480,1563840
20250714232526.478,10.0.0.1,38104,10.0.0.2,5001,5,27.0-28.0,130320,1042560
20250714232527.001,10.0.0.1,38104,10.0.0.2,5001,5,28.0-29.0,130320,1042560
20250714232528.018,10.0.0.1,38104,10.0.0.2,5001,5,29.0-30.0,195480,1563840
20250714232529.051,10.0.0.1,38104,10.0.0.2,5001,5,30.0-31.0,130320,1042560
20250714232530.074,10.0.0.1,38104,10.0.0.2,5001,5,31.0-32.0,195480,1563840
20250714232531.099,10.0.0.1,38104,10.0.0.2,5001,5,32.0-33.0,195480,1563840
20250714232532.110,10.0.0.1,38104,10.0.0.2,5001,5,33.0-34.0,195480,1563840
20250714232533.149,10.0.0.1,38104,10.0.0.2,5001,5,34.0-35.0,195480,1563840
