PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=212 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=36.2 ms
64 bytes from 10.0.0.2: icmp_seq=214 ttl=64 time=36.8 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=31.1 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=26.7 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=219 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=220 ttl=64 time=39.5 ms
64 bytes from 10.0.0.2: icmp_seq=221 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=222 ttl=64 time=29.1 ms
64 bytes from 10.0.0.2: icmp_seq=223 ttl=64 time=38.8 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=225 ttl=64 time=25.6 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=32.2 ms
64 bytes from 10.0.0.2: icmp_seq=227 ttl=64 time=32.5 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=32.6 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=39.3 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=28.8 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=235 ttl=64 time=45.3 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=36.5 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=26.8 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=43.9 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=25.2 ms
64 bytes from 10.0.0.2: icmp_seq=241 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=242 ttl=64 time=26.0 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=244 ttl=64 time=31.4 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=23.5 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=24.2 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=25.3 ms
64 bytes from 10.0.0.2: icmp_seq=253 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=254 ttl=64 time=24.5 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=24.9 ms
