1752533412.395062,0
1752533412.502328,0
1752533412.634720,0
1752533412.750752,0
1752533412.858813,0
1752533412.968493,0
1752533413.097943,0
1752533413.210632,0
1752533413.318595,0
1752533413.458668,1
1752533413.569981,4
1752533413.688894,13
1752533413.794606,13
1752533413.901597,11
1752533414.009159,13
1752533414.116264,13
1752533414.223471,12
1752533414.330594,10
1752533414.437851,8
1752533414.544398,3
1752533414.652839,0
1752533414.763656,0
1752533414.874389,0
1752533414.982166,0
1752533415.107499,1
1752533415.235400,0
1752533415.351001,0
1752533415.464850,0
1752533415.573673,0
1752533415.681367,0
1752533415.788518,0
1752533415.895645,0
1752533416.003899,1
1752533416.109776,1
1752533416.347441,0
1752533416.472854,0
1752533416.682259,0
1752533416.789255,0
1752533416.904532,0
1752533417.015793,0
1752533417.131603,0
1752533417.261668,0
1752533417.377265,0
1752533417.515886,1
1752533417.624666,1
1752533417.732589,1
1752533417.840485,0
1752533417.949643,0
1752533418.057174,0
1752533418.174897,0
1752533418.284649,0
1752533418.393214,0
1752533418.501056,1
1752533418.608675,10
1752533418.716945,12
1752533418.824728,12
1752533418.942427,11
1752533419.139628,12
1752533419.247867,12
1752533419.355344,13
1752533419.475324,13
1752533419.583865,10
1752533419.691360,1
1752533419.807431,0
1752533419.917714,0
1752533420.028414,0
1752533420.138675,0
1752533420.246258,0
1752533420.354744,0
1752533420.460800,0
1752533420.573759,1
1752533420.685941,1
1752533420.792783,0
1752533420.902302,0
1752533421.016046,0
1752533421.123679,0
1752533421.252100,0
1752533421.402508,1
1752533421.517716,0
1752533421.625452,0
1752533421.739074,0
1752533421.845001,0
1752533421.955357,0
1752533422.061951,0
1752533422.171552,0
1752533422.278493,0
1752533422.385779,0
1752533422.492454,0
1752533422.600185,0
1752533422.756178,1
1752533422.873973,0
1752533423.004773,0
1752533423.120686,0
1752533423.242352,0
1752533423.352687,0
1752533423.468527,0
1752533423.576607,8
1752533423.686538,11
1752533423.793707,12
1752533423.911741,12
1752533424.020597,12
1752533424.127470,11
1752533424.238482,10
1752533424.344744,9
1752533424.453304,6
1752533424.559405,0
1752533424.669665,0
1752533424.775552,0
1752533424.882451,0
1752533424.989273,0
1752533425.118148,1
1752533425.228046,1
1752533425.337486,0
1752533425.446389,0
1752533425.554154,0
1752533425.663028,1
1752533425.770621,0
1752533425.881935,0
1752533425.994531,0
1752533426.102769,0
1752533426.209088,0
1752533426.317478,0
1752533426.432586,0
1752533426.539891,0
1752533426.648783,0
1752533426.757800,1
1752533426.871032,0
1752533426.978556,0
1752533427.088208,0
1752533427.200386,0
1752533427.307031,0
1752533427.417599,0
1752533427.528443,0
1752533427.644342,0
1752533427.757831,0
1752533427.866871,0
1752533427.973662,0
1752533428.083031,0
1752533428.190943,0
1752533428.312413,0
