------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 25790
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 37328 connected with 10.0.0.2 port 5002 (ct=2346.57 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 54.0000-55.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/140424 us  0.93
[  5] 55.0000-56.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/135900 us  1.44
[  5] 56.0000-57.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/72853 us  2.68
[  5] 57.0000-58.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/162144 us  1.21
[  5] 58.0000-59.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/131361 us  1.49
[  5] 59.0000-60.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/123655 us  1.05
[  5] 60.0000-61.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/141590 us  1.38
[  5] 61.0000-62.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/134284 us  1.46
[  5] 62.0000-63.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       28K/140253 us  0.93
[  5] 63.0000-64.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/142231 us  0.92
[  5] 64.0000-65.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/130281 us  1.50
[  5] 65.0000-66.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/139452 us  1.40
[  5] 66.0000-67.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0        5K/141047 us  1.39
[  5] 67.0000-68.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/82071 us  2.38
[  5] 68.0000-69.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       22K/99598 us  1.31
[  5] 69.0000-70.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/125558 us  1.56
[  5] 70.0000-71.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/151845 us  1.29
[  5] 71.0000-72.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/135662 us  1.44
[  5] 72.0000-73.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/132593 us  1.47
[  5] 73.0000-74.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       28K/130128 us  1.00
[  5] 74.0000-75.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/148398 us  1.32
[  5] 75.0000-76.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/144272 us  1.35
[  5] 76.0000-77.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/133553 us  1.46
[  5] 77.0000-78.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/126383 us  1.55
[  5] 78.0000-79.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/123557 us  1.58
[  5] 79.0000-80.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/123134 us  1.06
[  5] 80.0000-81.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/123175 us  1.59
[  5] 81.0000-82.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/116886 us  1.67
[  5] 82.0000-83.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/123815 us  1.58
[  5] 83.0000-84.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/138507 us  1.41
[  5] 84.0000-85.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0       28K/121239 us  0.54
[  5] 85.0000-86.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/126403 us  1.55
[  5] 86.0000-87.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/124355 us  1.57
[  5] 87.0000-88.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/44361 us  4.41
[  5] 88.0000-89.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/100732 us  1.29
[  5] 89.0000-90.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/141381 us  1.38
[  5] 0.0000-90.1406 sec  14.6 MBytes  1.36 Mbits/sec  169/21         41       -1K/463817 us  0.37
