------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 24030
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 55692 connected with 10.0.0.2 port 5001 (ct=50.71 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 54.0000-55.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      200K/1130186 us  0.17
[  5] 55.0000-56.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      202K/1138066 us  0.17
[  5] 56.0000-57.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      202K/1142637 us  0.11
[  5] 57.0000-58.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      203K/1153766 us  0.17
[  5] 58.0000-59.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      205K/1163984 us  0.17
[  5] 59.0000-60.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0      206K/1166518 us  0.06
[  5] 60.0000-61.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      206K/1170293 us  0.17
[  5] 61.0000-62.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      207K/1188132 us  0.16
[  5] 62.0000-63.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      209K/1185258 us  0.16
[  5] 63.0000-64.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      210K/1192123 us  0.16
[  5] 64.0000-65.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      212K/1207277 us  0.11
[  5] 65.0000-66.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      213K/1217003 us  0.16
[  5] 66.0000-67.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      214K/1209811 us  0.16
[  5] 67.0000-68.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      214K/1224575 us  0.16
[  5] 68.0000-69.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      216K/1225451 us  0.16
[  5] 69.0000-70.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      217K/1236575 us  0.16
[  5] 70.0000-71.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      219K/1248355 us  0.10
[  5] 71.0000-72.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      220K/1246972 us  0.16
[  5] 72.0000-73.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      222K/1251645 us  0.16
[  5] 73.0000-74.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      222K/1253917 us  0.16
[  5] 74.0000-75.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      223K/1263273 us  0.15
[  5] 75.0000-76.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      224K/1275260 us  0.10
[  5] 76.0000-77.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      226K/1291602 us  0.15
[  5] 77.0000-78.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      227K/1285967 us  0.15
[  5] 78.0000-79.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      227K/1288455 us  0.15
[  5] 79.0000-80.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      229K/1299311 us  0.15
[  5] 80.0000-81.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0      230K/1339289 us  0.05
[  5] 81.0000-82.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      230K/1341454 us  0.15
[  5] 82.0000-83.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      231K/1312276 us  0.15
[  5] 83.0000-84.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      233K/1327832 us  0.10
[  5] 84.0000-85.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      234K/1322281 us  0.15
[  5] 85.0000-86.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      234K/1326636 us  0.15
[  5] 86.0000-87.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      236K/1336193 us  0.15
[  5] 87.0000-88.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      237K/1470140 us  0.09
[  5] 88.0000-89.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      237K/1779877 us  0.07
[  5] 89.0000-90.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      238K/1587214 us  0.12
[  5] 0.0000-90.2506 sec  18.0 MBytes  1.67 Mbits/sec  197/5        271       -1K/1110917 us  0.19
