------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 89402
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 54570 connected with 10.0.0.2 port 5002 (ct=1407.01 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   139 KBytes  1.14 Mbits/sec  2/1          1       14K/1407000 us  0.10
[  5] 1.0000-2.0000 sec   141 KBytes  1.16 Mbits/sec  2/0          0       28K/1432193 us  0.10
[  5] 2.0000-3.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       28K/1432193 us  0.00
[  5] 3.0000-4.0000 sec   199 KBytes  1.63 Mbits/sec  3/0          0       48K/1464662 us  0.14
[  5] 4.0000-5.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       65K/1418893 us  0.09
[  5] 5.0000-6.0000 sec   127 KBytes  1.04 Mbits/sec  1/1          2       57K/943237 us  0.14
[  5] 6.0000-7.0000 sec   509 KBytes  4.17 Mbits/sec  4/0          0      124K/749395 us  0.70
[  5] 7.0000-8.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0      179K/741284 us  1.49
[  5] 8.0000-9.0000 sec   445 KBytes  3.65 Mbits/sec  4/0          0      258K/1106735 us  0.41
[  5] 9.0000-10.0000 sec   127 KBytes  1.04 Mbits/sec  1/1         17      260K/1577939 us  0.08
[  5] 10.0000-11.0000 sec  63.6 KBytes   521 Kbits/sec  1/1         14      246K/1579221 us  0.04
[  5] 11.0000-12.0000 sec   255 KBytes  2.09 Mbits/sec  2/1          1      319K/1537881 us  0.17
[  5] 12.0000-13.0000 sec  63.6 KBytes   521 Kbits/sec  1/1         53      325K/1554033 us  0.04
[  5] 13.0000-14.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          2      328K/1538560 us  0.00
[  5] 14.0000-15.0000 sec   573 KBytes  4.69 Mbits/sec  5/1         38      326K/1572638 us  0.37
[  5] 15.0000-16.0000 sec   127 KBytes  1.04 Mbits/sec  1/1         33      345K/1529234 us  0.09
[  5] 16.0000-17.0000 sec  63.6 KBytes   521 Kbits/sec  1/1         51        5K/1392077 us  0.05
[  5] 17.0000-18.0000 sec   891 KBytes  7.30 Mbits/sec  8/0          0        5K/755494 us  1.21
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       48K/327682 us  0.40
[  5] 19.0000-20.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       31K/289443 us  0.45
[  5] 20.0000-21.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       31K/319228 us  0.20
[  5] 21.0000-22.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       31K/338005 us  0.39
[  5] 22.0000-23.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       28K/355022 us  0.18
[  5] 23.0000-24.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/350089 us  0.37
[  5] 24.0000-25.0000 sec  0.00 Bytes  0.00 bits/sec  0/1          0       25K/370693 us  0.00
