------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5003 with pid 93514
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 45984 connected with 10.0.0.2 port 5003 (ct=221.51 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   300 KBytes  2.46 Mbits/sec  3/0          0       28K/232929 us  1.32
[  5] 1.0000-2.0000 sec  67.9 KBytes   556 Kbits/sec  2/0         15       22K/240302 us  0.29
[  5] 2.0000-3.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       26K/286544 us  0.23
[  5] 3.0000-4.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          1       15K/321286 us  0.41
[  5] 4.0000-5.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       21K/217809 us  0.30
[  5] 5.0000-6.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       26K/272413 us  0.48
[  5] 6.0000-7.0000 sec   192 KBytes  1.57 Mbits/sec  2/0          0       35K/183476 us  1.07
[  5] 7.0000-8.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       41K/232289 us  0.56
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       46K/253249 us  0.77
[  5] 9.0000-10.0000 sec   255 KBytes  2.09 Mbits/sec  2/0          0       52K/283132 us  0.92
[  5] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       56K/313118 us  0.62
[  5] 11.0000-12.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       31K/167706 us  1.17
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/205276 us  0.95
[  5] 13.0000-14.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       43K/239556 us  0.54
[  5] 14.0000-15.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       49K/268159 us  0.73
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       55K/298171 us  0.66
[  5] 16.0000-17.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       48K/317422 us  0.62
[  5] 17.0000-18.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/181822 us  1.08
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       41K/216855 us  0.60
[  5] 19.0000-20.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       26K/136258 us  1.43
[  5] 20.0000-21.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       35K/183828 us  0.71
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/205612 us  0.95
[  5] 22.0000-23.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       43K/238229 us  0.55
[  5] 23.0000-24.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       49K/273350 us  0.72
[  5] 24.0000-25.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       55K/297701 us  0.66
[  5] 25.0000-26.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       49K/317254 us  0.41
[  5] 26.0000-27.0000 sec   255 KBytes  2.09 Mbits/sec  2/0          1       22K/109635 us  2.38
[  5] 27.0000-28.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/163327 us  1.20
[  5] 28.0000-29.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       38K/206166 us  0.63
[  5] 29.0000-30.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       45K/241013 us  0.81
[  5] 30.0000-31.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       49K/268227 us  0.73
[  5] 31.0000-32.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       55K/301942 us  0.65
[  5] 32.0000-33.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       16K/92070 us  2.12
[  5] 33.0000-34.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       28K/149419 us  0.87
[  5] 34.0000-35.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       36K/191364 us  1.02
[  5] 35.0000-36.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       42K/232304 us  0.84
