------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 95242
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 37234 connected with 10.0.0.2 port 5002 (ct=350.68 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   486 KBytes  3.98 Mbits/sec  5/0          0       14K/350535 us  1.42
[  5] 1.0000-2.0000 sec   255 KBytes  2.09 Mbits/sec  2/0         14       62K/289832 us  0.90
[  5] 2.0000-3.0000 sec   255 KBytes  2.09 Mbits/sec  3/0         12       56K/276811 us  0.94
[  5] 3.0000-4.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          4       59K/272141 us  0.48
[  5] 4.0000-5.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          3       48K/271850 us  0.48
[  5] 5.0000-6.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          3       53K/245179 us  0.80
[  5] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       53K/256861 us  0.76
[  5] 7.0000-8.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       56K/255933 us  0.51
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          3       56K/292904 us  0.67
[  5] 9.0000-10.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          5       43K/277146 us  0.47
[  5] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/51813 us  3.77
[  5] 11.0000-12.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/162236 us  1.20
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/125837 us  1.55
[  5] 13.0000-14.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/155182 us  1.26
[  5] 14.0000-15.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/152980 us  1.28
[  5] 15.0000-16.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/147830 us  0.88
[  5] 16.0000-17.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/123451 us  1.58
[  5] 17.0000-18.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       28K/146230 us  0.89
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/139386 us  0.93
[  5] 19.0000-20.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/138301 us  1.41
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/142754 us  1.37
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/81804 us  2.39
[  5] 22.0000-23.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/138726 us  1.41
[  5] 23.0000-24.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/144335 us  0.90
[  5] 24.0000-25.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/126819 us  1.54
[  5] 25.0000-26.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       22K/126923 us  1.54
[  5] 26.0000-27.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/142963 us  1.37
[  5] 27.0000-28.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       33K/139710 us  0.93
[  5] 28.0000-29.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/167536 us  1.17
[  5] 29.0000-30.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/144849 us  1.35
[  5] 30.0000-31.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       19K/124708 us  1.05
[  5] 31.0000-32.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/105094 us  1.86
[  5] 32.0000-33.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/136829 us  1.43
[  5] 33.0000-34.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       28K/123262 us  1.06
[  5] 34.0000-35.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/140755 us  0.93
[  5] 35.0000-36.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/144749 us  1.35
[  5] 36.0000-37.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/147084 us  1.33
[  5] 37.0000-38.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/124859 us  1.57
[  5] 38.0000-39.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       19K/151701 us  1.29
