------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 74009
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 56806 connected with 10.0.0.2 port 5001 (ct=51.07 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 54.0000-55.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       55K/368597 us  0.35
[  5] 55.0000-56.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       42K/318618 us  0.41
[  5] 56.0000-57.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       21K/114972 us  1.70
[  5] 57.0000-58.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/158751 us  1.23
[  5] 58.0000-59.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/206256 us  0.95
[  5] 59.0000-60.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       43K/313046 us  0.42
[  5] 60.0000-61.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       49K/265272 us  0.49
[  5] 61.0000-62.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/279146 us  0.70
[  5] 62.0000-63.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       56K/307021 us  0.42
[  5] 63.0000-64.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       28K/238747 us  0.82
[  5] 64.0000-65.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       36K/190563 us  1.03
[  5] 65.0000-66.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       42K/229151 us  0.85
[  5] 66.0000-67.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       48K/262329 us  0.50
[  5] 67.0000-68.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/333855 us  0.59
[  5] 68.0000-69.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       56K/314406 us  0.62
[  5] 69.0000-70.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       31K/199493 us  0.98
[  5] 70.0000-71.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       39K/205831 us  0.95
[  5] 71.0000-72.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       45K/240372 us  0.54
