------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 100853
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 44308 connected with 10.0.0.2 port 5002 (ct=1123.40 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   139 KBytes  1.14 Mbits/sec  2/1          1       14K/1123000 us  0.13
[  5] 1.0000-2.0000 sec   141 KBytes  1.16 Mbits/sec  2/0          0       28K/1141505 us  0.13
[  5] 2.0000-3.0000 sec   124 KBytes  1.02 Mbits/sec  1/1          0       39K/1161408 us  0.11
[  5] 3.0000-4.0000 sec  70.7 KBytes   579 Kbits/sec  1/1          0       50K/1230943 us  0.06
[  5] 4.0000-5.0000 sec   318 KBytes  2.61 Mbits/sec  3/0          0       69K/1266716 us  0.26
[  5] 5.0000-6.0000 sec   638 KBytes  5.22 Mbits/sec  5/0          0      124K/1129418 us  0.58
[  5] 6.0000-7.0000 sec  1.24 MBytes  10.4 Mbits/sec  10/0          0      207K/534909 us  2.43
[  5] 7.0000-8.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      275K/1245556 us  0.16
[  5] 8.0000-9.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          2      272K/1563765 us  0.04
[  5] 9.0000-10.0000 sec   318 KBytes  2.61 Mbits/sec  3/1          0      275K/1570726 us  0.21
[  5] 10.0000-11.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          4      270K/1557303 us  0.04
[  5] 11.0000-12.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          4      272K/1584086 us  0.04
[  5] 12.0000-13.0000 sec   255 KBytes  2.09 Mbits/sec  3/0          0      285K/1594473 us  0.16
[  5] 13.0000-14.0000 sec   445 KBytes  3.65 Mbits/sec  4/0          2       96K/1546403 us  0.29
[  5] 14.0000-15.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      206K/614562 us  0.32
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0        5K/576051 us  0.34
