------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5003 with pid 99147
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 55194 connected with 10.0.0.2 port 5003 (ct=1409.94 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   107 KBytes   880 Kbits/sec  1/1          1       14K/1410000 us  0.08
[  5] 1.0000-2.0000 sec  59.4 KBytes   487 Kbits/sec  1/1          0       28K/1417427 us  0.04
[  5] 2.0000-3.0000 sec   133 KBytes  1.09 Mbits/sec  2/1          0       28K/1417427 us  0.10
[  5] 3.0000-4.0000 sec  67.9 KBytes   556 Kbits/sec  1/1          0       56K/1492495 us  0.05
[  5] 4.0000-5.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          7       32K/1561301 us  0.04
[  5] 5.0000-6.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       32K/1561301 us  0.00
[  5] 6.0000-7.0000 sec  0.00 Bytes  0.00 bits/sec  0/1         17       32K/1567045 us  0.00
[  5] 7.0000-8.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       32K/1562040 us  0.00
[  5] 8.0000-9.0000 sec  63.6 KBytes   521 Kbits/sec  1/1         10       24K/1221844 us  0.05
[  5] 9.0000-10.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       33K/895449 us  0.07
[  5] 10.0000-11.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       35K/893692 us  0.07
[  5] 11.0000-12.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       36K/911302 us  0.00
[  5] 12.0000-13.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       38K/925925 us  0.07
[  5] 13.0000-14.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       39K/944409 us  0.00
[  5] 14.0000-15.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       41K/958938 us  0.07
[  5] 15.0000-16.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       42K/977545 us  0.07
[  5] 16.0000-17.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       43K/990695 us  0.00
[  5] 17.0000-18.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       45K/1003004 us  0.06
[  5] 18.0000-19.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       46K/1017104 us  0.06
[  5] 19.0000-20.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       49K/327978 us  0.20
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       53K/298323 us  0.66
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       59K/322377 us  0.61
[  5] 22.0000-23.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       63K/354788 us  0.55
[  5] 23.0000-24.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       66K/370891 us  0.53
[  5] 24.0000-25.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       70K/393687 us  0.50
[  5] 25.0000-26.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       73K/409826 us  0.48
[  5] 26.0000-27.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       77K/432653 us  0.45
[  5] 27.0000-28.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       80K/450773 us  0.29
[  5] 28.0000-29.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       82K/458768 us  0.43
[  5] 29.0000-30.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       84K/476276 us  0.41
[  5] 30.0000-31.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       87K/493022 us  0.40
[  5] 31.0000-32.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       90K/515725 us  0.38
[  5] 32.0000-33.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       93K/525166 us  0.37
[  5] 33.0000-34.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       96K/539473 us  0.36
[  5] 34.0000-35.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       98K/556140 us  0.35
[  5] 35.0000-36.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      101K/570475 us  0.34
[  5] 36.0000-37.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      104K/580128 us  0.34
[  5] 37.0000-38.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      106K/594241 us  0.33
[  5] 38.0000-39.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      108K/613338 us  0.32
[  5] 39.0000-40.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      111K/624769 us  0.31
[  5] 40.0000-41.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      113K/692438 us  0.28
