------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 17703
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 43578 connected with 10.0.0.2 port 5002 (ct=1207.82 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   139 KBytes  1.14 Mbits/sec  2/1          1       14K/1207000 us  0.12
[  5] 1.0000-2.0000 sec   141 KBytes  1.16 Mbits/sec  2/0          0       28K/1247727 us  0.12
[  5] 2.0000-3.0000 sec  56.6 KBytes   463 Kbits/sec  1/1          0       33K/1256663 us  0.05
[  5] 3.0000-4.0000 sec   140 KBytes  1.15 Mbits/sec  2/0          0       49K/1330167 us  0.11
[  5] 4.0000-5.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          1       48K/1343735 us  0.00
[  5] 5.0000-6.0000 sec   383 KBytes  3.14 Mbits/sec  3/0          1       83K/866759 us  0.45
[  5] 6.0000-7.0000 sec   762 KBytes  6.24 Mbits/sec  7/0          0      120K/803021 us  0.97
[  5] 7.0000-8.0000 sec   128 KBytes  1.05 Mbits/sec  1/1          1      155K/1046248 us  0.13
[  5] 8.0000-9.0000 sec  1.24 MBytes  10.4 Mbits/sec  11/0          0      220K/1142143 us  1.14
[  5] 9.0000-10.0000 sec   764 KBytes  6.26 Mbits/sec  6/0          0      362K/1173911 us  0.67
[  5] 10.0000-11.0000 sec  0.00 Bytes  0.00 bits/sec  0/2         87      244K/1492402 us  0.00
[  5] 11.0000-12.0000 sec  0.00 Bytes  0.00 bits/sec  0/2         30      279K/1424964 us  0.00
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/1          3      388K/1317016 us  0.15
[  5] 13.0000-14.0000 sec  63.6 KBytes   521 Kbits/sec  1/1         53      282K/1370279 us  0.05
[  5] 14.0000-15.0000 sec   827 KBytes  6.78 Mbits/sec  7/0         56      279K/886619 us  0.96
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      254K/785380 us  0.25
[  5] 16.0000-17.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      257K/865114 us  0.15
[  5] 17.0000-18.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      251K/994113 us  0.13
[  5] 18.0000-19.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      246K/1049219 us  0.19
[  5] 19.0000-20.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      246K/1093093 us  0.12
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      246K/1173873 us  0.17
[  5] 21.0000-22.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      246K/1243206 us  0.10
[  5] 22.0000-23.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      240K/1324894 us  0.10
