------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 106666
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 50892 connected with 10.0.0.2 port 5002 (ct=277.21 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   395 KBytes  3.23 Mbits/sec  4/0          0       14K/276919 us  1.46
[  5] 1.0000-2.0000 sec   383 KBytes  3.14 Mbits/sec  3/0          7       62K/180460 us  2.17
[  5] 2.0000-3.0000 sec   255 KBytes  2.09 Mbits/sec  2/0         76       91K/289187 us  0.90
[  5] 3.0000-4.0000 sec   318 KBytes  2.61 Mbits/sec  3/0         17       70K/154192 us  2.11
[  5] 4.0000-5.0000 sec   127 KBytes  1.04 Mbits/sec  1/1          7       67K/272733 us  0.48
[  5] 5.0000-6.0000 sec   127 KBytes  1.04 Mbits/sec  2/0         12       65K/243331 us  0.54
[  5] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec  2/0         10       62K/227179 us  0.86
[  5] 7.0000-8.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       41K/225779 us  0.87
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       67K/265109 us  0.74
[  5] 9.0000-10.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       67K/258744 us  0.76
[  5] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          4       62K/260287 us  0.75
[  5] 11.0000-12.0000 sec  0.00 Bytes  0.00 bits/sec  0/1          4       70K/264151 us  0.00
[  5] 12.0000-13.0000 sec   255 KBytes  2.09 Mbits/sec  2/0          4       49K/284653 us  0.92
[  5] 13.0000-14.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          4       25K/59277 us  3.30
[  5] 14.0000-15.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/144879 us  1.35
[  5] 15.0000-16.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       25K/137822 us  0.95
[  5] 16.0000-17.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/143222 us  1.36
[  5] 17.0000-18.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/135110 us  1.45
[  5] 18.0000-19.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/126413 us  1.55
[  5] 19.0000-20.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       19K/121900 us  1.60
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       28K/130714 us  1.50
