------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 103158
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 58204 connected with 10.0.0.2 port 5001 (ct=46.52 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   749 KBytes  6.14 Mbits/sec  6/0          0       31K/55158 us  13.91
[  5] 1.0000-2.0000 sec   191 KBytes  1.56 Mbits/sec  2/0         57       29K/251365 us  0.78
[  5] 2.0000-3.0000 sec   255 KBytes  2.09 Mbits/sec  2/0          2       35K/190642 us  1.37
[  5] 3.0000-4.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       42K/226509 us  0.58
[  5] 4.0000-5.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          4       22K/245741 us  0.80
[  5] 5.0000-6.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       31K/164719 us  1.19
[  5] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/202547 us  0.97
[  5] 7.0000-8.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       43K/237326 us  0.82
[  5] 8.0000-9.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       49K/266103 us  0.49
[  5] 9.0000-10.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       53K/297127 us  0.66
[  5] 10.0000-11.0000 sec   127 KBytes  1.04 Mbits/sec  1/1          2       38K/310019 us  0.42
[  5] 11.0000-12.0000 sec   255 KBytes  2.09 Mbits/sec  2/0          0       35K/184098 us  1.42
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       19K/192362 us  1.02
[  5] 13.0000-14.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       29K/160175 us  1.22
[  5] 14.0000-15.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       38K/199373 us  0.65
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       43K/235981 us  0.83
[  5] 16.0000-17.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       49K/269246 us  0.73
[  5] 17.0000-18.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       26K/153711 us  1.27
[  5] 18.0000-19.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0       35K/191505 us  0.34
[  5] 19.0000-20.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/208319 us  0.94
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       45K/242632 us  0.81
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       26K/141803 us  1.38
