------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5004 with pid 115805
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 38544 connected with 10.0.0.2 port 5004 (ct=189.28 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   560 KBytes  4.59 Mbits/sec  5/0          0       14K/189217 us  3.03
[  5] 1.0000-2.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       65K/534305 us  0.37
[  5] 2.0000-3.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          0       76K/547814 us  0.24
[  5] 3.0000-4.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       56K/368753 us  0.53
[  5] 4.0000-5.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       56K/446692 us  0.15
[  5] 5.0000-6.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       62K/396182 us  0.33
[  5] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       62K/378593 us  0.52
[  5] 7.0000-8.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       62K/399619 us  0.16
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       70K/327167 us  0.60
[  5] 9.0000-10.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       70K/553532 us  0.24
[  5] 10.0000-11.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0        5K/597286 us  0.22
[  5] 11.0000-12.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       53K/245072 us  0.53
[  5] 12.0000-13.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       42K/368443 us  0.18
[  5] 13.0000-14.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       45K/384909 us  0.34
[  5] 14.0000-15.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       45K/412104 us  0.32
[  5] 15.0000-16.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       45K/414025 us  0.31
