------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 110602
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 34618 connected with 10.0.0.2 port 5001 (ct=40.02 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 54.0000-55.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      200K/1150799 us  0.17
[  5] 55.0000-56.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      202K/1151739 us  0.17
[  5] 56.0000-57.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      203K/1215630 us  0.11
[  5] 57.0000-58.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      205K/1152203 us  0.17
[  5] 58.0000-59.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      205K/1159616 us  0.17
[  5] 59.0000-60.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      206K/1170638 us  0.17
[  5] 60.0000-61.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      207K/1171723 us  0.11
[  5] 61.0000-62.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      209K/1186597 us  0.16
[  5] 62.0000-63.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      210K/1188298 us  0.16
[  5] 63.0000-64.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      212K/1201611 us  0.16
[  5] 64.0000-65.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      213K/1207147 us  0.16
[  5] 65.0000-66.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      213K/1218321 us  0.11
[  5] 66.0000-67.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      214K/1219973 us  0.16
[  5] 67.0000-68.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      216K/1220000 us  0.16
[  5] 68.0000-69.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      217K/1242619 us  0.16
[  5] 69.0000-70.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      219K/1242399 us  0.16
[  5] 70.0000-71.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0      220K/1246153 us  0.05
[  5] 71.0000-72.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      220K/1251527 us  0.16
[  5] 72.0000-73.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      222K/1259666 us  0.16
[  5] 73.0000-74.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      223K/1261847 us  0.10
[  5] 74.0000-75.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      223K/1262169 us  0.15
[  5] 75.0000-76.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      224K/1274879 us  0.15
[  5] 76.0000-77.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      226K/1285833 us  0.15
[  5] 77.0000-78.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      227K/1289671 us  0.15
[  5] 78.0000-79.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      229K/1292963 us  0.15
[  5] 79.0000-80.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      229K/1299955 us  0.10
[  5] 80.0000-81.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      230K/1309150 us  0.15
[  5] 81.0000-82.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      231K/1314507 us  0.15
[  5] 82.0000-83.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      233K/1322712 us  0.15
[  5] 83.0000-84.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      233K/1322184 us  0.15
[  5] 84.0000-85.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      234K/1331908 us  0.10
[  5] 85.0000-86.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      236K/1341389 us  0.15
[  5] 86.0000-87.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      237K/1343367 us  0.15
[  5] 87.0000-88.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      237K/1342283 us  0.15
[  5] 88.0000-89.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0      238K/1355797 us  0.14
[  5] 89.0000-90.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0      240K/1364636 us  0.10
[  5] 0.0000-90.4567 sec  18.3 MBytes  1.70 Mbits/sec  198/4        259       -1K/1075515 us  0.20
