------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5003 with pid 112357
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 46538 connected with 10.0.0.2 port 5003 (ct=1398.23 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   107 KBytes   880 Kbits/sec  1/1          1       14K/1398000 us  0.08
[  5] 1.0000-2.0000 sec  59.4 KBytes   487 Kbits/sec  1/1          0       28K/1408267 us  0.04
[  5] 2.0000-3.0000 sec   133 KBytes  1.09 Mbits/sec  2/1          0       28K/1408267 us  0.10
[  5] 3.0000-4.0000 sec  67.9 KBytes   556 Kbits/sec  1/1          0       56K/1491055 us  0.05
[  5] 4.0000-5.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          6       45K/1613259 us  0.08
[  5] 5.0000-6.0000 sec  0.00 Bytes  0.00 bits/sec  0/1         18       35K/1408514 us  0.00
[  5] 6.0000-7.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       35K/1408514 us  0.00
[  5] 7.0000-8.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          7       25K/910104 us  0.07
[  5] 8.0000-9.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       16K/874286 us  0.07
[  5] 9.0000-10.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       18K/847753 us  0.00
[  5] 10.0000-11.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       19K/831325 us  0.08
[  5] 11.0000-12.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       21K/871119 us  0.00
[  5] 12.0000-13.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       22K/858293 us  0.00
[  5] 13.0000-14.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       24K/881722 us  0.07
[  5] 14.0000-15.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       26K/896645 us  0.00
[  5] 15.0000-16.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       28K/915688 us  0.07
[  5] 16.0000-17.0000 sec  0.00 Bytes  0.00 bits/sec  0/2          0       29K/928881 us  0.00
[  5] 17.0000-18.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          0       31K/949863 us  0.07
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  1/1          0       36K/198079 us  0.66
