PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=781 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=771 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=790 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=795 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=794 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=800 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=805 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=817 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=819 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=814 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=834 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=821 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=836 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=832 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=840 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=837 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=841 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=852 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=848 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=844 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=917 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=919 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=894 ms
