------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 20037
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 45218 connected with 10.0.0.2 port 5001 (ct=43.35 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   745 KBytes  6.10 Mbits/sec  7/0          0       33K/64070 us  11.91
[  5] 1.0000-2.0000 sec   255 KBytes  2.09 Mbits/sec  2/0         59       28K/153792 us  1.69
[  5] 2.0000-3.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       36K/192830 us  1.01
[  5] 3.0000-4.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0       42K/231142 us  0.28
[  5] 4.0000-5.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       45K/249180 us  0.78
[  5] 5.0000-6.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       50K/280157 us  0.70
[  5] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       29K/153388 us  1.27
[  5] 7.0000-8.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       36K/199400 us  0.65
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       43K/233199 us  0.84
[  5] 9.0000-10.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       26K/135865 us  1.44
[  5] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/183614 us  1.06
[  5] 11.0000-12.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/221496 us  0.88
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       46K/252498 us  0.77
[  5] 13.0000-14.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       52K/287025 us  0.45
[  5] 14.0000-15.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          3       12K/165563 us  1.18
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       25K/131773 us  1.48
[  5] 16.0000-17.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/183223 us  1.07
[  5] 17.0000-18.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/220818 us  0.89
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       46K/254270 us  0.51
[  5] 19.0000-20.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/282659 us  0.69
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       56K/305272 us  0.64
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       32K/173801 us  1.12
