------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5001 with pid 83664
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 49500 connected with 10.0.0.2 port 5001 (ct=40.52 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   749 KBytes  6.14 Mbits/sec  6/0          0       28K/46687 us  16.44
[  5] 1.0000-2.0000 sec   191 KBytes  1.56 Mbits/sec  2/0         54       33K/233645 us  0.84
[  5] 2.0000-3.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       35K/205185 us  0.95
[  5] 3.0000-4.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/222788 us  0.88
[  5] 4.0000-5.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       46K/254539 us  0.77
[  5] 5.0000-6.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          3       28K/147486 us  0.88
[  5] 6.0000-7.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       36K/192171 us  1.02
[  5] 7.0000-8.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       42K/231693 us  0.84
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       48K/263466 us  0.74
[  5] 9.0000-10.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       48K/288903 us  0.68
[  5] 10.0000-11.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       31K/168479 us  1.16
[  5] 11.0000-12.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       38K/208303 us  0.63
[  5] 12.0000-13.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       45K/244185 us  0.80
[  5] 13.0000-14.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       26K/143093 us  1.37
[  5] 14.0000-15.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       35K/185807 us  1.05
[  5] 15.0000-16.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/223740 us  0.87
[  5] 16.0000-17.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       48K/257648 us  0.51
[  5] 17.0000-18.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/287811 us  0.68
[  5] 18.0000-19.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          1       31K/168172 us  0.77
[  5] 19.0000-20.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       35K/189341 us  0.69
[  5] 20.0000-21.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/224860 us  0.87
[  5] 21.0000-22.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       48K/258295 us  0.76
[  5] 22.0000-23.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/286387 us  0.68
[  5] 23.0000-24.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       35K/299872 us  0.43
[  5] 24.0000-25.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       33K/181977 us  1.07
[  5] 25.0000-26.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       41K/222662 us  0.88
[  5] 26.0000-27.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       46K/251343 us  0.78
[  5] 27.0000-28.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       52K/281934 us  0.69
[  5] 28.0000-29.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       56K/332900 us  0.39
[  5] 29.0000-30.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          4       29K/166059 us  1.18
[  5] 30.0000-31.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/201309 us  0.97
[  5] 31.0000-32.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       43K/238583 us  0.82
[  5] 32.0000-33.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       49K/266099 us  0.73
[  5] 33.0000-34.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       29K/154328 us  1.27
[  5] 34.0000-35.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       36K/199766 us  0.65
[  5] 35.0000-36.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       21K/218793 us  0.89
[  5] 36.0000-37.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       29K/159878 us  1.22
[  5] 37.0000-38.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       38K/200915 us  0.97
[  5] 38.0000-39.0000 sec  63.6 KBytes   521 Kbits/sec  1/0          0       43K/238445 us  0.27
[  5] 39.0000-40.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       46K/254056 us  0.77
