------------------------------------------------------------
Client connecting to 10.0.0.2, TCP port 5002 with pid 21783
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  5] local 10.0.0.1 port 49068 connected with 10.0.0.2 port 5002 (ct=215.72 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  5] 0.0000-1.0000 sec   345 KBytes  2.83 Mbits/sec  3/0          0       14K/215602 us  1.64
[  5] 1.0000-2.0000 sec   522 KBytes  4.27 Mbits/sec  5/0          8       36K/314524 us  1.70
[  5] 2.0000-3.0000 sec   318 KBytes  2.61 Mbits/sec  3/0         52       79K/241837 us  1.35
[  5] 3.0000-4.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          4       76K/278296 us  0.47
[  5] 4.0000-5.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          9       76K/237669 us  0.82
[  5] 5.0000-6.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          4       41K/271447 us  0.48
[  5] 6.0000-7.0000 sec   127 KBytes  1.04 Mbits/sec  1/0          2       82K/255757 us  0.51
[  5] 7.0000-8.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          8       38K/258032 us  0.51
[  5] 8.0000-9.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          2       70K/245518 us  0.80
[  5] 9.0000-10.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          7       73K/229797 us  0.85
[  5] 10.0000-11.0000 sec   127 KBytes  1.04 Mbits/sec  2/0         12       62K/218386 us  0.60
[  5] 11.0000-12.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          1       73K/272793 us  0.72
[  5] 12.0000-13.0000 sec   127 KBytes  1.04 Mbits/sec  2/0         10        5K/194357 us  0.67
[  5] 13.0000-14.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          0       39K/348179 us  0.37
[  5] 14.0000-15.0000 sec   127 KBytes  1.04 Mbits/sec  2/0          2       42K/255731 us  0.51
[  5] 15.0000-16.0000 sec  63.6 KBytes   521 Kbits/sec  1/1          2       31K/469381 us  0.14
[  5] 16.0000-17.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       42K/173191 us  1.13
[  5] 17.0000-18.0000 sec   191 KBytes  1.56 Mbits/sec  2/0          0       48K/136852 us  1.43
